id,previous_weight_lbs,current_weight_lbs,height_in,gender,score,photos,first_image_aspect_ratio
122veh,145,145,67,true,202,"kJchg,8146h,hUfLv,IArzx,PQHgi,0A6Cy,DdA7a,NvTPj,na5bQ,zolDY,WuxjO,p7yKn,cI5is,Oli8S,8FPis",1.0
12elir,270,205,76,false,39,"kUNgG,99A1A,wgsd6,cTGjZ,ujSKD",0.75
126ac4,375,270,73,false,308,dzG8I,3.65
12izmv,285,175,71,false,159,"CKhBn,tumGv,vikXk",0.75
12gt5t,280,199,77,false,32,809WT,1.39
12gqvn,290,180,68,false,93,imziK,4.11
12vye4,215,170,74,false,21,"oL6ss,jxnwB,qfSJY,vxg14",0.4
12qksw,290,233,76,false,78,"YU4mi,N0MSx,2PqAi,cvo7n,sswIS,K2KtE",0.66
12q7wy,321,166,74,false,263,5ZzGs,1.73
13okd9,286,237,67,true,365,"NBDTX,AbDLL,Ss0Ku,jMLij",0.75
13jxmt,225,140,74,false,22,"tBUvQ,PCtdn,3cCya,CX19S,v0VI2,CsngF,xrRBO,cZwgL,LhV7j,fSMIF,kxLsw",1.37
13wt08,230,172,69,false,36,xKhmY,1.78
13uej4,235,145,63,true,181,"XfA44,Zaxin,mnqn3",0.6
147njv,160,140,62,true,22,"LJR85,Zw0mL,xI4w0,yjYdO,AhBaL",1.5
145z50,178,153,69,false,17,"UcFIU,4waf1",0.75
14m9vq,200,145,62,true,127,"L1ykG,lPL7y,L8IXT,pIqam",0.27
14m6eb,216,158,67,true,1697,"vN6I8,0ze5v",2.03
14kt36,310,258,74,false,47,"43bri,HAK29,nXNju",1.33
14on38,200,175,62,true,518,3nMGo,1.22
14mvpv,240,165,71,true,153,mmPgY,1.0
1537nm,220,173,68,false,95,"v6WkX,wWNlN,AO9d5,8TPfw,tTc5G,7nRXl,PjgCb,Cb6DS,uUzE1,DYxfv,z0FCz,FUdAR",1.33
14y6ic,260,195,73,false,51,"cI3vd,kYt9L,t0wfi,uA1H8",0.42
15f5nm,257,170,71,false,7,"35qZ9,3HMrD",1.33
15eqfk,160,130,65,false,4,yAXoB,1.51
15jtvq,125,125,61,true,0,"A6dxP,jgy9l",0.75
15ivly,163,163,62,true,3,pDHGr,1.27
15wnum,178,135,65,true,165,"6Y7bY,socs7,MCXD1,c487v,JIvYQ,RFy5g,QUS6h,8AFUn",0.89
1683kc,175,134,66,true,80,"envON,xWyeU",1.33
16dmla,153,153,66,true,719,lA0JE,1.0
16vq9f,286,220,68,true,42,"U1nqHeY,Tq4etwh,RxY49Bw,5g3i3UZ",0.75
172ist,250,149,65,false,695,"zLR4Np7,1JK1icA,UdMEvDl,PoFKx1O,1Nz1Qau,ERYkQAZ",1.44
16z00s,220,155,73,false,23,"1ZRk7ka,Vh3A7du",0.68
16xm9j,204,149,67,true,473,"4uF1ixM,tRAq500,CwAgc8R,DGOLpC8,XCyGX51,d3uhc34,4SkiiEG",1.33
17ephw,170,147,65,true,62,"NYsjPJv,VZbbc9v",1.33
17af0g,252,185,68,true,128,eEGeuIt,1.0
1804ix,282,232,76,false,40,5VZJMg6,1.25
1894hs,300,242,74,false,299,7EnEkUh,1.0
1887fh,225,155,65,false,18,"0344snu,3KQHyXB",0.63
18pdrs,208,168,70,false,38,"vnZlbGf,BhtC4Rs,4I2BZq8",1.33
18zowe,231,179,74,false,93,"QewWng3,UD2idGG",0.23
18su5m,280,170,71,false,11,"8Sl69I8,4jygOep",1.33
19bq4c,305,271,71,false,18,"E5B6Z8U,Ux87ETg",0.75
19a2kl,180,130,60,true,1204,"qBIDlYT,vpvpNlA,MOy8vWw,uWp6Z9l,hdZ0J1j,naLlYJu,AnHFEjE,9Bcm1WI,H9JX1ZT,UdVnvPY,n0K6dLR,wI83YuF,XSkMVtc,W5nxXFo",0.42
199r9f,175,145,67,false,11,"JOjpjdf,559Ybcu",1.34
199mfa,197,145,64,true,375,P4jrDZu,1.0
198f8o,155,124,64,true,128,"gY3Zj95,rdSpbOK,yS6EG2y,ntO3nV9,SFRGiaL,2y69Jl4,sAGgi7m,lLkN2Gz",1.31
197mcv,227,197,67,false,92,vh4JVU6,0.75
19oz4d,285,265,71,false,7,"Q13BeJb,NrqxVqr",1.49
19llkw,171,138,70,true,730,"P4bVfni,sh7vU,ZxI31b2,wOMvu,Z8Jmg,vRv6Ymy,mUeXp9p,yaxVp2T,7SlY2,6FnR5,OjXOc",0.75
19kuku,172,156,72,false,0,G4qRVtP,1.33
19k74a,320,234,72,false,97,"0AfnmY4,yT2xz,ZhuQQ,kgliRgJ",0.75
19hrkp,275,147,68,false,66,B42VUS6,1.14
1a0n45,380,308,74,false,225,2YwDNrj,1.55
19w70x,162,162,65,true,17,"Xnk9mR4,yEpVM3s",0.75
1ad4gd,293,193,70,false,69,"MpmUWoM,0k1OJ8A",1.2
1a9089,213,138,69,false,60,a3eWh9O,1.17
1a8k1h,305,225,73,false,55,"GmRFZzJ,Yb8QPQP,UFsmnkr,JczPxJG,6rRIMyt,uLWuLvl,ZvSGt8N,5xrtO55,UZEGMuy,e89WZ73,R5ZE6EY,i2MTQCF",1.77
1a377u,240,205,71,false,29,yg3Pamq,1.05
1ae03z,358,308,75,false,9,"ksGs6EQ,rmo0LtE,vyklDa9,nJ9oO75,Q7uTFxR,G7Mkd42,JmEzO5H,BQWgQ1n,lIJX1oy,cOX3u6Q,ksGs6EQ",0.75
1ats22,400,213,78,false,200,"xUarI8x,4TRR2Aj,mwFeMhB,t5QoACX",0.66
1astpw,280,250,72,false,8,"gQWcu6V,IQL8reD,tbaSLEb",0.67
1ar89d,250,200,68,false,74,"mbDQM,PDbUN,tRU2THg",0.42
1ar0b1,192,164,69,false,2,"zMYQk3N,JEmGLss",0.75
1b6toz,200,150,69,false,60,Rs17hXq,2.15
1c03jb,310,235,74,false,85,"vk6uAj8,e831AsJ,1bhB0Dw,Ub5aA7Y,krTY1ZK,dASi7YG,qXVGktn,XNkTItV,2dFArJ1,U1yhB5k",1.33
1bx9zj,250,205,72,false,61,vZqfGyQ,1.07
1bx96k,250,205,72,false,21,vZqfGyQ,1.07
1bv421,275,205,74,false,35,"EFguGi3,Cd3A9hQ",1.33
1bv3ch,216,141,67,true,1146,"qs6Ewow,UOJ7R9R",1.04
1bv382,218,152,65,true,127,"au3cSGq,zxok5JE,vIYxhjJ,L5eRty4,PfXnp6u,moWdc,F7g5i,ySebQ,lc5jG,8ce5t,aYqpE3S,AGOMWn1,L5eRty4,PfXnp6u",0.75
1bqw2b,215,145,66,true,19,"Qt3HzbC,cTfN9m1",1.0
1c807o,280,210,66,false,367,"AdyjmJ7,NwSMuCW,F8I8MOm,OWttaLi",1.33
1c5vn1,210,193,70,true,12,"6BNGf9g,Cd9iPP6,J175k6k,WcMu8lX",0.75
1c4znt,215,165,60,false,24,"0Ylc1iS,RLSE6wx",1.78
1cp9dx,145,150,69,false,1,"u9WqMfy,Vd3ZR5p,32g0Rr7,FSVFpFE",0.75
1cg5oc,330,200,68,false,9,"uWGE5eW,ORGI6lj,M1X0mko,NiQ91DM,Ql6a8e2,dKI1kzv,wGvyapb",1.77
1ceuj6,177,150,67,true,19,"5ibVH4D,aL5v5qI",1.18
1ce6fw,217,170,72,false,33,"HH9a7ze,D97ZcaF,zRaiwmX,eNBcN6B,FTxxbNU,T5WDBgU,UOJixHq",0.68
1d0mwx,295,253,70,true,20,QP9YuwN,1.0
1d0bm1,373,250,74,false,1501,"4AYf6Tv,VQsik,99BvfRx,RgK5W",0.75
1crgsq,240,199,71,false,26,"jHQnjLK,DNVh4PF",1.15
1cptlf,185,163,63,true,34,"sHJTzi5,5vOGXd1",0.75
1daub5,196,149,65,true,32,"n3IPNsu,IItkWEC",0.75
1da5tb,275,235,66,true,26,COsaIph,1.12
1d5wel,200,163,73,false,14,KWa4zYn,1.33
1d3oay,257,185,74,false,19,"xc83EhA,6DiSvVi,rcBUW1a,cafbZYP",0.75
1diy43,185,145,73,false,4,MQUJuzj,2.02
1dimhz,160,141,62,true,35,J0wXWsP,0.71
1di0em,305,172,69,false,594,"U9j9qEH,Pmv3RdO,cs0pF8s,nR0ZOvq,cI2fKiP",0.56
1dz0g7,198,198,70,false,16,"mquvE0E,rDlDuh,bBoyD,2GcKK,4WGTW3H",0.75
1ebj1q,220,166,74,false,33,"Qcbji,1gV70,djYAt,friPh,qmD99,5VB2048,Qcbji,5VB2048",1.33
1ebgtp,259,209,76,false,177,OEyXysU,1.89
1eb6g7,245,163,73,false,142,"2qeM0n6,Lj0keIR,Pna6m0C,yq4Jw6N,4VeIgJK,CEMBMTp",1.31
1e5z36,285,215,75,false,21,"2i9W0lx,2o5GGTw,UFzsCrZ,mmWYv6y,fW4zLQH",1.38
1e3owj,255,255,67,false,3,"cYdZSkk,1Swmchw,TtCb1Cq,EVhlmEE,D6EJ6fP,GX75ffP,hqfF6XL,N5xhkjO",0.75
1ejzy1,217,177,71,true,99,"fPtZCTa,rySQDtj",1.44
1ei7af,364,321,71,false,90,"MaUpRCp,2YU4y87",1.36
1ewt5r,155,140,64,true,10,2pqdizV,1.5
1f88m6,165,125,63,true,17,EUtHkMt,1.0
1f0pgi,210,158,71,false,90,"T276b9Q,JWJgyxJ,iUXxVin,QAQZssC,uKUQOJu,m5TBYtE,gHywSjI,0nKihNE,R9e6jSf,eTFWC9v",0.73
1fl4ku,195,145,66,true,1831,7Pbm35F,0.5
1fjy4s,660,357,73,false,1341,b7hsxfo,2.95
1fhz8x,220,202,70,true,5,u19YE2G,1.33
1fhhty,270,185,71,false,98,"LfJmeWN,9WWmRBL",2.7
1fpb08,330,220,71,false,12,"HNML2J6,EThIs2Q",1.0
1ganq7,176,144,66,true,98,"75nM7PX,BZVrVPC,M5gVmIK,9ioOz1I,pClUHh1,n07lGmO,EczxAKu,m9dKoIK,lgANnKM",1.0
1g9sk2,305,189,72,false,37,"mK8tu0q,1aqRpeg,6YLQse8",1.33
1g8wem,160,120,62,true,597,"qO25PL9,wBKpJOf,vTKm1om,rJzPgRf,4mOi1rj,zO0oqxW,Dx4roDN,6jWXHpC,ylAX4d0,4i9DHle,DcaOfwv",0.5
1g6inc,226,197,73,false,2,"yzaOQk5,4TsLOho,a6jEexm",0.75
1g60br,215,187,71,false,1,ZUomluf,3.36
1g3b5p,220,200,73,false,20,"kxMc6G2,G3YAirv",1.41
1gjke7,185,180,66,true,5,"E5AYwRD,J6Zb6m3,yeJCVS6",0.7
1gdzdv,220,160,65,true,104,"3zNuyuw,xZfXmGE,WALUema,IGhnYMr,dMFOmDD,PfS5VrF",0.67
1gd2q9,341,281,73,false,12,"x0fuPqc,f9hVnso,RLYHoVy",0.56
1gbcut,265,190,66,true,563,GF53IFN,1.0
1gxlg7,155,135,65,false,20,hSHBp3Q,1.3
1gwoq1,320,208,73,false,92,"4ixuCaS,acuJkCp",0.51
1gmr8b,229,204,68,true,79,"FzbFMGU,2yehddo",1.02
1h5hyt,294,186,64,true,912,"8I5u59C,UKJZwKv,7714L,5jR8fIl,3duzkYj,ZrNVxmS,FeI54OE",0.39
1hld4z,170,166,64,true,13,"6drFsHv,ElVYGuk",0.75
1hjxsq,320,220,72,false,73,kolWo0A,2.78
1hjp2u,205,145,68,true,553,fQ9rDif,1.02
1hiqac,290,260,74,false,1,"A6vN2A8,3JMbgbm",0.75
1hinz1,145,115,59,true,51,"1D5uh3p,eto4Xlh,ShKdqAP,IvLbrzN,4AQS5XM,zrzqu4e,vEXALKz,NJXrgJG,kuGzU2e,FwDBUw6,6WbgMrj",0.68
1hdjrd,240,185,71,false,8,"stnQ8KX,eFy6f0P",1.73
1hta9s,150,150,64,true,2,84it2bm,0.63
1hpjo9,260,175,71,false,109,"FOtb7m0,PmUklQs,ACOwpMP",1.5
1hpd65,180,150,66,true,148,"LpXnzax,B82ntXR",1.33
1hmkxn,195,195,68,true,10,FSyfzQj,0.56
1i5v69,250,170,74,false,4,"e3VN3ny,Grh60vm",1.61
1i4u2g,160,153,65,true,5,"1Uum89T,STHyodQ",0.75
1iikfq,240,204,73,false,357,"s5FdumG,fYkIarD",0.95
1ie68a,315,290,72,false,10,3aVVDKB,0.73
1iwpsn,221,165,65,true,22,"OUkJRWg,MNHEGZU,zG3D9uH,sJWUIzV",1.56
1ivd5z,316,275,73,false,49,v4jfz4s,0.96
1j5q4e,280,180,69,false,102,"drof1wJ,zEWBMUm,qMKg5Dy",1.24
1j36cj,247,205,76,false,427,"s4uKOAa,XjbWhIO,YdRCl9X,QQO1cs5,fDAcmAD,yKKW2N5",0.75
1j0t1t,200,126,64,false,122,"j6xgWeC,GCHNlL5,hZJFs1N",2.88
1jiiw7,212,176,66,true,740,ViFLlpY,1.0
1jh5kw,225,188,74,false,38,"Z0dJ7mI,XxE1QG2,aB6C3qh",0.75
1jt0bx,330,270,73,false,16,pKYHxOH,1.45
1jr46j,250,190,73,false,84,"YP9cfXE,wrvYzX3",1.33
1job9q,238,167,67,false,2,"KtVtGPp,V6k30Tj,nu0jWIY,zVSGOjW,lY6kqxr,VP341O3,im8Bo0g",0.56
1jo029,212,176,66,true,323,U9wnGyq,0.67
1jnq99,245,175,67,false,92,Z7X2vQp,1.27
1jn1w0,260,180,71,false,42,"wJwTtof,Ld7HRAe",0.59
1k82uv,240,160,67,false,629,"GIwBGEc,tFcUHOih,NB003K4,8bkmkH1,1PTRKEDh,uFOQmox",1.33
1k5g13,180,162,60,true,19,"azaVX0S,Qv5AUpe",1.0
1k4nxa,195,169,70,false,12,"uESVPrx,5c5asBD,vWZFHv1",0.75
1k1cbr,300,219,73,false,24,IklabM5,1.45
1k06zi,186,154,65,true,145,"h1Me1Oj,OFaVt8T",1.33
1jxxqa,215,162,71,false,3,G3jTUJD,0.45
1kjwpi,280,180,73,false,246,p1OX9cF,2.77
1ki4vk,210,210,69,true,4,tZ3BQCC,1.33
1kapyb,225,191,69,true,76,"Tzdvh1y,Ga7F9eZ,HmcUe97,oI1odxW",0.6
1k9jzm,240,170,68,false,2,d8aZ2ao,0.89
1kweab,359,359,71,true,357,913TRJK,0.51
1kockx,250,250,69,false,20,TtW0p4C,1.05
1l7boj,300,300,71,false,0,7G1rHhL,0.56
1l4rdn,296,236,72,false,21,"yihF3kg,rWqlw5y",0.96
1l2axb,233,233,71,false,0,mmsoBSM,0.75
1lufw4,245,172,67,false,69,"5AYwQOK,j2yHmhD,m5xR9eq",1.96
1lqdhp,260,193,76,false,230,"CiGfWP9,2BMPyG7,gNMbwq1,xPl3ELZ,Z9YuBK4,5ojRiiF,VCNPHYz,N7l9rOM",1.33
1lm0tb,272,218,71,false,82,7C2ah4p,1.0
1m6t4y,264,230,73,false,15,"ArwT8fQ,mU5jOkM,pfRr0Y0,0S0cCxV",1.51
1lz5mp,290,290,71,false,402,"3cE2fPQ,fCqX2so,miKTqIy,KknxVea,hsbMQa5,8ZaGhJd,vzNhbNM,E1J3ZnP,IoMe07m,AcfbvrT,PDgafmj,50cdq6r,9aGWJGF,XvvPSH5,rmiYRMW",0.67
1ly5ty,209,158,68,false,19,"vnvuONm,TCiPEaa,gdHzg1c,7GfH0gl,YxxbnQj,gOeRstk,ESicMYs,EwNXTUF,Pw6oWkV,aK1AI5e,MOPTTNE",1.2
1lw66p,200,170,68,true,226,kfG6J8v,1.56
1mh7yo,370,255,72,false,26,"z56voGm,HCdGNX5,4w0eTTq,OyFr6bS,9ThOSS3,wBX2CW3,XJu9QIz,0GFFbm0,7eHGO2t,5t5FBxo",0.45
1mfd3m,175,147,67,true,518,wWDLoCH,1.11
1madn5,350,280,78,false,26,"W6jazfl,XEm5wGM",1.33
1m93kj,315,210,73,false,712,"zfcvTsM,v3ibdqD,SMtATOp,Pjx5TlI,UBM74dq,gTHGvNB,Cro4f5I,GqJtQof,wGHMokD",0.75
1mti9i,476,274,68,false,238,"Qulsgwz,oosvAc6,JASsYjE,R2b0q7Y,SyKxsJL,GvPnGsU,lhZOQQU,uowAg28,TdW804z",0.6
1mpuuu,350,350,71,true,128,lQlDSIn,1.13
1mjvbc,180,155,62,true,35,"P1Rqpfz,4qtd3NR,nNN4XPs,LoSHI2z",0.76
1n04zv,245,171,67,false,15,mlMxJEt,1.36
1ng4m5,240,160,67,false,205,"fThtaL6,4DeJF12",0.62
1ndud5,417,270,67,false,31,"NDGaBtq,kObBksG,TIi9J80,AqcJkpo,Ukavfx2",0.56
1nv74m,300,188,64,true,1563,"JQObx0A,Jqe2JxK",1.0
1npm6k,260,160,69,false,33,"RKjR2Jl,cBVS0uT,9kIMDeo,6RQG4wY,75DvdIL,twwmunr,U5lawnF,hAi2Kp7",0.45
1nnjg0,254,191,72,false,26,4uS9CJz,0.97
1nmps8,240,180,68,false,35,1dxwyiL,1.01
1o7r2w,325,300,72,false,318,yJEeFmV,1.19
1o7b72,264,236,68,false,21,XFjdWJZ,1.24
1o78uv,190,165,71,false,30,"LGDbfuc,NUy5xly,DV37wmt,tWZL8sS",0.83
1o6onv,290,230,71,false,31,"fD2Zx08,y1V5zq6",1.0
1o5a7c,167,123,64,true,1127,LiIHLC1,2.9
1o54fl,183,140,68,false,57,kCDFkrP,0.82
1o3eqq,266,177,69,false,64,"NZRTJqg,c7Vp5VD",1.34
1o2v6m,265,199,70,true,1238,Tzqun8y,3.41
1oe6n9,230,200,72,false,5,"N2E7Bj1,Y29LTIw,MoiuJr3",1.78
1o9pt2,235,140,68,true,109,ltXebbl,0.64
1ovmmx,410,310,78,false,94,"wueEDBg,DqCVKAN,qIBYubg,cuBCM0e,tkUU7VI,DJO0MEl,NLMhBHR,mqGkrUm,NfVP47M,zXrYgwH,Uzse3bP,Banwj6w",0.75
1otmfu,315,200,69,false,28,"2PHM6nD,gMMfo,bbbjMAh,etkzwV0",1.5
1ot6vk,220,150,64,true,45,Cp0SyhD,1.0
1orus5,280,169,68,false,137,"H4nrCRf,cyxhnBK",1.49
1or8wt,283,183,73,true,1097,"pu9jmXL,Dy6Wpk1,s7R7gWD,BqbUhxL",0.67
1p9oyo,220,205,69,true,14,"5a0nLRn,QRCKhdS,8X9JjSf,szkPZdd,OAJW7wp,oAI4whc,16NFv60,644U2Ge",0.75
1p20z2,312,212,67,true,151,"wlbBTJ8,OGZqi9W,SOtr46Z,mTJHpuw",1.43
1ply3n,189,189,64,true,1569,"yzgemt0,OrCJ9RF,2W3F0tu,1hsJMIC,w4TWusQ,AD4GYIR,0r2M0bq,q393XxM,Yc6zohb,jotMO04,EdRZemk,DYPvcvf,3T8mcKX,H6Fw1MJ,GXWO57P,aC3pUNa,x5nJsCL,1yANMps,ndQ1PhR,7Fbwoxd,hw5YvPr,RjNKkcp,B8uwQJ9,Q6hCDuB,0nfDZE1,siXccbl",1.33
1qb36j,265,215,75,false,497,"00LVJaQ,KHTrPl6,YhvaV4h,AXgKyAX,KhBPD9z,JbKi4H4,StGdeMt",0.75
1pzgq0,177,161,62,true,25,"GOfeVFG,OH8mi3F,06tXsdq,2Zckb6Y,aTUWz0D,CZ7VhuH,2ynjAZO",0.74
1qpfy3,280,235,76,false,17,"Ludc3Wf,w6KvdYp",0.42
1qhyn7,288,228,69,false,6,"JpFqdnT,jXblZno,dEVryrq",0.44
1qgewv,195,170,72,false,5,"4rv0FqW,4WhoCY8,Qi7fsr0,pNGfeLn",0.56
1qgdrc,264,215,73,false,26,"jFUYIdJ,vOwi5xx",0.6
1qc97v,364,290,71,false,160,"NHYMRvf,iZwtw5a,1FXszgH,XXZ8sSN",1.26
1r2kl6,232,185,71,false,69,x9TblP0,0.92
1r1s0i,220,200,66,true,61,"DPPRStk,3FROK5c,EGmNPG8",2.39
1r1ob5,269,169,60,false,510,5XdXTaD,1.4
1qt709,325,174,70,true,310,"JXPWwT2,8d6dXkE,lJPww7e,WNtnrqT,cJlKthz,VWK6fZK,Tftlqtm",0.67
1qrpln,162,122,62,true,199,"dR38Czb,BOXT85q,TeR0FKT,dBvvxWB,1J1yZRe,KOFDlSX,QuaW9cN",0.75
1qq733,235,145,66,true,540,OII0M4I,1.22
1r4a1r,246,226,76,false,2,"VfjQ15M,jeYPeYe",2.56
1r3pjq,266,206,72,false,7,9X7o03B,0.58
1rr2n0,205,155,67,false,115,"nLrDlhx,HTDCbBF,AK3x2VC,zoYs7OP,W2TcPaw,6tHkInz,wyQsdgI",0.75
1rjdj1,251,188,73,false,24,"1jSZson,1axtDYv",0.4
1rhn3i,340,290,72,false,11,pzrctUf,0.33
1rvmtt,250,165,70,false,19,"m6YiIEg,ttQbK,UqoEC,F6JjlL7,YOkpR,yinS7,k5AH6ck,K6voB1O,ebcmHZl,TI1t7vj,TNFIdb6,bd0FnjI",1.33
1rv5fj,380,250,71,false,14,"nlBrL9w,KTQOZyg,Q9OrLVe,bVoOLZI,bNXw0Jd,iJBlmmh",0.75
1sja3f,300,170,68,false,1708,"SKySmOF,AuSCIiX",1.33
1sh0lw,295,182,72,false,1176,"vQ26NQc,peijMWf,aN3m0Rb,8Iq1jVI,4S1yviN,feN8U9y,6dGA2kb,DN0H3Pg,AVCu3QT,Jf0EK2V,wHTpNN2,Lf2nVRm,GkDeq9l,mWWTNFO,bBA8ION,y2NxI2E,WgAdMof,BAGgr5O,o6aGU41,SXnLnpW,dxfuv,P93dxeO,LglOCXT",2.22
1sxbxm,340,235,79,false,807,"G53TRaG,RLaZAPk",0.81
1sw1fb,158,158,63,true,217,w4B7UhG,1.75
1suynk,320,197,73,false,13,"bYqtZHP,TRaZiYe,ZEAODKv,oVRbKTe,3GPpclM,Dgp5m1o",1.78
1sr5hr,240,185,71,false,8,oQ2KNrY,0.98
1sr1oz,312,220,74,false,9,"D0qRw20,0a1Z7lS,oaDhcG5,2KvtHuU,2KvtHuU,oaDhcG5h,0a1Z7lSh,D0qRw20",1.01
1tc5rn,171,126,62,true,560,"71kNuB1,g8SNbpY",0.85
1u0tt9,160,122,68,true,69,0w66dTT,1.0
1u0kza,209,152,64,true,810,"1egN9l4,jOrwnNg",0.75
1tyqc3,223,170,64,true,1587,z0fg329,1.0
1twnsy,242,176,75,false,284,1GfjRQ6,1.22
1tucjz,188,135,63,true,505,wgZc4RN,1.0
1udckv,320,240,72,false,144,"kwOhNOS,isTJEzQ,QYe2R2o",1.0
1u715t,221,130,65,true,502,"kxl82FC,oIbDWIV,zqdILj7,gZVab0o,qXOUBx4,E5zdi4f,PUeivUA,5MTMD9K",1.09
1u51f3,240,170,67,false,11,2xvAtqG,0.67
1u4jg1,255,187,72,false,6,"O4Gfm41,wOTdwUI,c6wS1XG,tjVVVdt,on1B6y5",0.56
1u4e2h,360,245,74,false,90,"nw0TijY,RkTbdgf,Nen3Vez",0.79
1u2lnr,185,127,59,true,872,"al6YJlZ,m2y488e,wPk0f8h,LJAeCGU,yc5DtWf,0oL8dMj,Pzi4Elh,c96MR2B,ERBtdcj,GFVq4Kq,Sz7UV5o,zCfVYEf,4ewcyqa",0.49
1uj2tg,320,175,76,false,32,"Nfw99pX,5DBrVuf,MCfjJYm,Pz0tYXc",1.33
1uizr7,278,278,71,false,2,deoixSr,0.75
1uhdfj,260,150,67,false,81,"TrBrUlm,2CGXtEv",0.56
